	C8 (1)	C8 (3)	Control (1)	Control (2)	Control (3)
thrL	-0.005868	-0.005868	-0.016066	0.021541	-0.006358
thrA	0.089320	0.022649	-0.003914	0.001781	0.002106
thrB	0.032239	0.005348	0.000413	-0.000361	-0.000052
thrC	0.039440	-0.019496	0.006583	-0.003329	-0.003329
yaaX	0.009948	-0.001313	-0.000264	-0.000264	0.000527
yaaA	0.007973	-0.002459	-0.002541	0.006242	-0.003770
yaaJ	-0.000033	-0.000033	0.000459	0.000298	-0.000758
talB	0.027875	0.001693	0.001693	-0.003406	0.001693
mog	-0.001454	-0.001669	0.003300	-0.001865	-0.001454
yaaH	-0.007131	0.035358	0.000466	-0.000387	-0.000079
yaaW	-0.006857	0.004042	-0.006857	-0.006857	0.013398
htgA	0.000405	0.000405	0.001794	0.000405	-0.002209
yaaI	0.000038	-0.000266	0.000554	0.000038	-0.000592
dnaK	0.000119	0.010591	-0.018619	-0.004295	0.021936
dnaJ	-0.001074	-0.001142	-0.001142	0.002274	-0.001142
yi81_1	-0.000307	-0.003447	-0.000307	0.000614	-0.000307
yi82_1	-0.000032	-0.001048	-0.000032	0.000303	-0.000270
nhaA	0.000221	0.000221	0.000221	0.000140	-0.000362
nhaR	0.044927	0.004428	0.004428	0.004428	-0.008994
insB_1	-0.008756	-0.010712	-0.009817	-0.009817	0.018993
insA_1	0.044858	-0.011918	0.011598	-0.004773	-0.007065
rpsT	0.013325	-0.020373	0.024893	-0.029733	0.003107
yaaY	-0.004325	-0.004253	-0.003787	0.008188	-0.004519
ribF	-0.000829	-0.000000	-0.000000	-0.000000	-0.000000
ileS	-0.002686	-0.044473	0.007715	0.026512	-0.036623
lspA	0.038191	-0.028278	0.008332	-0.011081	0.002521
fkpB	-0.010226	-0.010514	-0.009699	0.019264	-0.010226
ispH	-0.021695	-0.036479	0.039472	-0.021168	-0.021168
rihC	0.001674	0.000273	0.001065	0.000576	-0.001646
dapB	-0.002018	-0.040754	0.004007	-0.002018	-0.002018
carA	-0.003336	-0.089557	-0.003146	-0.003146	0.006225
carB	-0.024001	-0.073310	-0.017796	-0.005147	0.021987
caiF	-0.001809	-0.047509	-0.000464	0.002263	-0.001809
caiE	-0.000328	0.020356	0.000000	0.000000	0.000000
caiD	0.000034	0.000478	0.000803	-0.000118	-0.000686
caiC	0.002482	0.000000	0.000000	0.000000	0.000000
caiB	-0.000331	-0.000268	0.000903	0.000021	-0.000927
caiA	0.000054	0.000099	0.000054	0.000054	-0.000108
caiT	-0.001062	-0.000995	-0.000995	0.001983	-0.000995
fixA	-0.000127	-0.000082	0.000196	0.000256	-0.000452
fixB	-0.000557	0.038024	0.000558	0.000015	-0.000574
fixC	-0.000076	-0.000094	0.000435	-0.000076	-0.000359
fixX	0.000537	0.000956	0.000956	0.001352	-0.002317
yaaU	-0.015241	-0.015165	-0.015165	0.008053	0.006723
kefF	0.000063	0.000000	0.000000	0.000000	0.000000
kefC	-0.000880	-0.000525	0.001191	-0.000669	-0.000525
folA	0.000250	0.000135	0.000135	-0.000125	-0.000010
apaH	0.005090	0.005090	-0.010362	0.005090	0.005090
apaG	0.022797	-0.004486	0.008347	-0.003983	-0.004486
ksgA	0.031864	-0.073938	0.000000	0.000000	0.000000
pdxA	0.002746	-0.002301	0.002746	0.002746	-0.005545
surA	0.037638	0.004920	-0.010010	0.004920	0.004920
imp	0.006608	-0.042438	0.018901	-0.009709	-0.009827
djlA	0.039444	-0.029391	-0.009895	0.019137	-0.009895
yabP	-0.000668	0.003949	0.000000	0.000000	0.000000
yabQ	0.013074	-0.000552	0.000226	0.001688	-0.001921
rluA	-0.014782	-0.016842	0.028699	-0.015405	-0.014782
hepA	-0.010590	-0.010414	0.022089	-0.012373	-0.010590
polB	-0.002081	0.000000	0.000000	0.000000	0.000000
araD	-0.000946	-0.000416	0.000723	-0.000157	-0.000567
araA	-0.000172	-0.000222	0.000343	-0.000172	-0.000172
araB	0.000119	0.021714	0.000606	-0.000189	-0.000418
araC	0.000024	0.004669	0.000244	0.000244	-0.000488
yabI	0.001351	0.000012	-0.000024	0.000012	0.000012
thiQ	-0.000226	-0.026343	0.000452	-0.000226	-0.000226
thiP	-0.013806	-0.013744	0.012560	0.000785	-0.013744
tbpA	-0.000207	-0.008731	0.000414	-0.000207	-0.000207
sgrR	0.000219	0.000219	0.000219	0.000219	-0.000438
setA	-0.004131	-0.004131	-0.003680	0.008140	-0.004576
leuD	-0.008584	-0.019572	-0.009530	0.018455	-0.009530
leuC	-0.021002	-0.021021	-0.000093	-0.000093	0.000185
leuB	-0.024785	-0.037707	0.013171	-0.014253	0.000649
leuA	-0.009287	-0.046502	-0.008520	0.002895	0.005498
leuL	0.015016	0.008608	-0.000860	-0.003508	0.004332
leuO	-0.000096	-0.000096	0.000470	-0.000096	-0.000374
ilvI	0.000000	-0.010934	0.000000	0.000000	0.000000
ilvH	0.001558	-0.059314	-0.009207	0.020563	-0.012114
fruL	-0.009751	-0.032888	-0.008018	0.015606	-0.008018
fruR	0.036528	-0.000593	0.000480	0.000026	-0.000507
mraZ	0.037431	-0.004193	-0.039131	0.006954	0.029392
mraW	0.001516	-0.062223	0.000000	0.000000	0.000000
ftsL	0.000058	0.000058	0.000058	0.000058	-0.000116
ftsI	-0.008918	-0.025716	0.031647	-0.024690	-0.008918
murF	-0.000969	-0.007282	-0.000637	0.001601	-0.000969
mraY	0.032067	-0.043934	-0.000000	-0.000000	-0.000000
murD	-0.001719	-0.001719	-0.001191	0.004996	-0.003852
ftsW	0.045019	-0.097607	-0.011468	0.014095	-0.003019
murG	0.017613	-0.047279	0.021127	0.009229	-0.032138
murC	0.001035	0.001035	0.001805	0.002009	-0.003838
ddlB	0.049618	-0.015795	0.000049	0.000049	-0.000099
ftsQ	-0.000948	-0.001086	0.002899	-0.000954	-0.001960
ftsA	0.000050	-0.015192	0.000000	0.000000	0.000000
ftsZ	0.063161	-0.023605	-0.022982	0.014811	0.007257
lpxC	0.082246	-0.001818	0.008761	-0.018072	0.008761
secM	0.000532	-0.015600	-0.001065	0.000532	0.000532
secA	0.026926	-0.039503	0.004959	-0.002501	-0.002501
mutT	0.000019	0.000000	0.000000	0.000000	0.000000
b0100	0.004220	-0.000539	0.000000	0.000000	0.000000
yacG	0.003451	-0.002191	0.002761	-0.001231	-0.001543
yacF	-0.001611	-0.008771	-0.001611	0.003204	-0.001611
coaE	0.002844	-0.004510	-0.001907	0.003790	-0.001907
guaC	-0.017448	-0.018112	-0.017508	-0.017448	0.032978
b0105	0.096648	0.127749	-0.054387	0.002424	0.046148
hofC	-0.021667	-0.026141	-0.021103	0.017044	0.003204
hofB	0.000010	0.000076	0.000683	-0.000086	-0.000598
ppdD	-0.000317	0.000000	0.000000	0.000000	0.000000
nadC	0.000052	0.000052	0.000493	0.000052	-0.000545
ampD	-0.000871	-0.000882	-0.000871	0.001737	-0.000871
ampE	-0.000073	-0.000297	0.000359	-0.000287	-0.000073
aroP	0.033176	-0.001694	0.003016	-0.001309	-0.001724
pdhR	-0.002912	-0.027252	0.023528	-0.011112	-0.013411
aceE	0.041688	0.006105	-0.000236	0.001496	-0.001265
lpd	0.041494	-0.005650	-0.002408	0.001199	0.001199
yacH	-0.001776	-0.002532	-0.001995	-0.002801	0.004756
acnB	0.064278	0.009562	-0.022124	-0.024687	0.043333
yacL	0.015868	-0.011125	-0.006293	0.003113	0.003113
speD	-0.014098	-0.010921	0.002173	0.008176	-0.010559
speE	-0.005385	-0.018821	-0.003879	-0.003879	0.007657
cueO	-0.013266	-0.013266	-0.013815	-0.013266	0.025877
gcd	0.086798	0.030085	-0.001485	0.000485	0.000996
hpt	0.000054	-0.000011	-0.000108	0.000054	0.000054
can	0.045925	0.012320	-0.030527	0.010402	0.018550
yadH	0.119945	0.008489	-0.016308	0.007370	0.008489
yadI	-0.003946	-0.004289	0.007881	-0.003160	-0.004831
panD	0.041594	0.046561	-0.002057	-0.002546	0.004566
yadD	0.000133	0.000133	0.000133	0.000133	-0.000267
panC	-0.005277	-0.028099	-0.007016	0.013701	-0.007016
panB	-0.007059	-0.007917	-0.006706	-0.007059	0.013446
yadC	-0.000136	-0.000136	0.000494	-0.000359	-0.000136
yadK	0.000092	0.000115	0.000671	-0.000280	-0.000392
yadL	0.002966	0.002966	-0.006216	0.003350	0.002799
yadM	-0.000063	-0.000202	0.000331	-0.000063	-0.000268
htrE	0.000015	-0.000034	0.000583	0.000015	-0.000599
ecpD	-0.002113	-0.000129	0.000257	-0.000129	-0.000129
yadN	0.000046	-0.000024	0.000546	-0.000252	-0.000295
folK	-0.004247	-0.038237	-0.000652	-0.004247	0.004851
pcnB	-0.041256	-0.026146	0.008324	-0.002569	-0.005883
yadB	-0.003939	-0.004258	-0.003939	-0.004223	0.008049
dksA	0.002184	0.020539	-0.004401	0.002184	0.002184
sfsA	0.000016	0.000000	0.000000	0.000000	0.000000
ligT	-0.000377	-0.001139	-0.000398	-0.000674	0.001070
hrpB	0.012913	0.000200	0.000200	0.000200	-0.000401
mrcB	-0.018425	-0.047505	0.004390	0.012098	-0.017010
fhuA	-0.035734	-0.003397	0.006716	-0.003397	-0.003397
fhuC	-0.000471	-0.000540	0.000271	0.000838	-0.001112
fhuD	-0.000171	-0.000171	0.000341	-0.000171	-0.000171
fhuB	0.000655	-0.000282	0.000884	-0.000041	-0.000844
hemL	-0.000122	-0.023195	0.000000	0.000000	0.000000
clcA	0.006385	-0.001404	0.000000	0.000000	0.000000
erpA	0.038797	-0.002330	-0.002330	-0.002330	0.004622
yadS	0.000000	-0.000096	0.000000	0.000000	0.000000
btuF	0.019667	-0.000224	-0.000000	-0.000000	-0.000000
mtn	0.006107	0.000000	0.000000	0.000000	0.000000
dgt	0.030894	0.001593	-0.002618	0.001593	0.001013
degP	0.004835	-0.003590	-0.003590	-0.010018	0.013274
cdaR	-0.000086	-0.000034	0.000455	-0.000131	-0.000325
yaeH	0.009909	-0.014640	0.031375	-0.018431	-0.014738
yaeI	-0.012586	0.000000	0.000000	0.000000	0.000000
b0165	-0.000015	-0.000015	-0.000015	-0.000015	0.000031
dapD	0.022597	-0.018289	-0.011390	0.004898	0.006271
glnD	-0.009720	-0.046945	0.013505	-0.009720	-0.004124
map	0.023028	-0.001971	0.000845	0.000208	-0.001055
rpsB	0.024799	-0.020719	-0.000519	-0.005707	0.006144
tsf	0.011825	0.002520	-0.002071	-0.002563	0.004597
pyrH	0.000287	0.000287	0.000287	-0.012315	0.011696
frr	0.051694	-0.036336	-0.029448	-0.005915	0.033056
dxr	-0.002583	-0.002583	-0.002583	0.005634	-0.003107
ispU	-0.003141	-0.010316	-0.010002	0.019954	-0.010662
cdsA	-0.027455	-0.074820	0.014744	0.011456	-0.027455
rseP	-0.000887	-0.025713	0.001420	-0.000537	-0.000887
bamA	0.052611	-0.045762	-0.015526	-0.004919	0.019690
skp	0.029544	-0.003880	-0.003331	0.007393	-0.004158
lpxD	0.090387	-0.043252	0.025441	-0.015028	-0.011583
fabZ	0.014328	-0.067687	-0.004570	-0.005266	0.009672
lpxA	-0.002257	-0.009841	0.004480	-0.002257	-0.002257
lpxB	0.048575	-0.013243	0.000000	0.000000	0.000000
rnhB	-0.000102	-0.001841	0.000205	-0.000102	-0.000102
dnaE	-0.008202	-0.003553	0.000144	0.003381	-0.003553
accA	0.055473	-0.008110	-0.005240	0.010294	-0.005240
ldcC	0.000704	0.000704	0.001334	0.000203	-0.001542
yaeR	0.028893	0.039605	-0.002355	0.001173	0.001173
tilS	0.036891	0.009614	-0.019596	0.009614	0.009338
rof	0.021260	0.000196	0.000808	0.000196	-0.001006
yaeJ	0.000165	0.000165	0.000165	-0.000330	0.000165
nlpE	0.045010	-0.024088	-0.023285	0.011190	0.011190
yaeF	-0.000365	-0.000365	0.001693	-0.000603	-0.001096
proS	-0.006174	-0.145779	0.004222	0.007261	-0.011722
yaeB	0.003621	-0.042677	0.028392	-0.001017	-0.029291
rcsF	0.010032	0.001781	-0.003585	0.001781	0.001781
metQ	0.020655	-0.035757	-0.001707	-0.001707	0.003394
metI	0.077668	-0.069581	-0.009392	0.000889	0.008322
metN	0.027246	-0.000239	-0.030054	0.005366	0.023017
gmhB	-0.003988	-0.026393	-0.000252	0.002242	-0.002000
rrsH	-0.000353	-0.002441	-0.000353	-0.000741	0.001092
rrfH	-0.010572	-0.024841	0.001598	0.002318	-0.003944
dkgB	-0.000825	-0.000472	0.000093	0.000300	-0.000394
yafC	0.007837	0.000141	0.000141	-0.000283	0.000141
yafD	0.115850	-0.009420	-0.006862	0.003391	0.003391
yafE	0.028936	-0.002863	0.000000	0.000000	0.000000
mltD	-0.014495	-0.034086	0.007082	-0.009050	0.001813
gloB	-0.007471	-0.026207	0.005997	-0.007471	0.001367
yafS	-0.003513	-0.004431	-0.003513	0.006942	-0.003513
rnhA	-0.009163	-0.024571	0.000479	-0.000240	-0.000240
dnaQ	0.002205	-0.005439	-0.004565	0.002325	0.002205
yafT	0.028186	0.000355	0.000355	0.000355	-0.000710
yafU	-0.002927	0.013798	-0.002927	-0.003175	0.006038
yafV	0.000002	0.000002	0.000647	0.000002	-0.000650
ivy	0.034135	0.023709	0.014323	-0.029675	0.013897
fadE	-0.000950	-0.001001	-0.000549	0.001495	-0.000950
lpcA	0.002416	-0.007404	-0.007069	-0.007616	0.014323
yafK	0.047134	-0.030605	-0.001396	0.000696	0.000696
yafQ	0.009368	-0.067315	0.000233	-0.000066	-0.000167
dinJ	-0.011847	-0.093167	0.017716	-0.006181	-0.012112
yafL	0.019189	0.000532	0.000532	-0.000554	0.000021
yafM	0.000102	0.000102	0.000639	-0.000742	0.000102
lfhA	-0.000042	-0.000042	0.000592	-0.000116	-0.000477
lafU	-0.000618	-0.000099	-0.000099	0.000197	-0.000099
dinB	0.000016	-0.002859	-0.001974	0.005497	-0.003577
yafN	-0.000332	-0.000404	0.000806	-0.000404	-0.000404
yafO	-0.000088	-0.000079	0.000935	-0.000079	-0.000858
yafP	-0.009574	-0.008869	0.016492	-0.006267	-0.010719
ykfJ	-0.008619	-0.008306	0.003481	0.005853	-0.009491
prfH	-0.001627	0.000351	0.000351	0.000594	-0.000946
pepD	0.041974	0.010174	-0.003056	0.001813	0.001226
gpt	0.014408	-0.017156	-0.000688	-0.014114	0.014335
frsA	0.038879	0.016284	-0.032904	0.015699	0.015425
crl	0.019848	-0.000513	0.000000	0.000000	0.000000
phoE	0.000031	0.000502	0.000515	-0.000283	-0.000232
proB	0.028931	0.006179	-0.012960	0.006496	0.006179
proA	0.027559	0.000096	0.005427	-0.004040	-0.001442
ykfI	-0.001383	0.019694	0.000869	0.000225	-0.001097
yafW	-0.001389	-0.000080	0.000469	-0.000390	-0.000080
ykfG	0.000032	0.000032	0.000663	-0.000046	-0.000618
yafX	-0.000499	0.000017	0.000642	0.000017	-0.000660
ykfF	-0.000279	0.000349	0.000989	0.000349	-0.001342
ykfB	-0.007507	0.006420	0.009215	-0.004682	-0.004682
yafY	-0.000966	-0.000406	0.000561	-0.000281	-0.000281
yafZ	0.000132	0.000132	0.000132	0.000486	-0.000619
ykfA	-0.000075	-0.000075	0.000461	-0.000075	-0.000386
perR	-0.009102	-0.008346	-0.006224	0.014061	-0.008188
yi91a	-0.002766	-0.004278	-0.002766	0.005480	-0.002766
b0257	0.012930	-0.000158	0.001071	-0.000539	-0.000534
ykfC	-0.000010	-0.000672	0.000637	-0.000551	-0.000087
trs5_1	-0.010277	-0.072528	-0.010277	0.005676	0.004421
mmuP	0.000348	-0.000653	0.000276	-0.000138	-0.000138
mmuM	0.000361	-0.001269	0.000286	-0.000143	-0.000143
afuC	-0.014474	-0.000273	-0.000273	-0.000273	0.000544
afuB	0.000006	0.000006	0.000407	0.000310	-0.000718
yagB	0.008546	-0.000007	0.000861	-0.000855	-0.000007
yagA	-0.000510	-0.000112	0.000515	-0.000112	-0.000404
yagE	-0.000216	-0.000135	0.000867	0.000444	-0.001314
yagF	-0.000159	-0.000159	0.000318	-0.000159	-0.000159
yagG	0.005160	0.000555	0.001704	0.000567	-0.002281
yagH	-0.000878	-0.000469	-0.000469	0.000936	-0.000469
yagI	0.033619	-0.036399	0.000000	0.000000	0.000000
argF	0.030062	-0.047575	-0.008572	-0.017777	0.025163
