	T0_N0000_r1	T0_N0000_r2	T0_N0000_r3	T12_N10000_r1	T12_N10000_r2	T12_N10000_r3	T24_N10000_r1	T24_N10000_r2	T24_N10000_r3	T24_N0000_r1	T24_N0000_r2	T24_N0000_r3	T36_N10000_r1	T36_N10000_r2	T36_N10000_r3	T48_N10000_r1	T48_N10000_r2	T48_N10000_r3	T60_N10000_r1	T60_N10000_r2	T60_N10000_r3	T60_N0000_r1	T60_N0000_r2	T60_N0000_r3
gfcA	8.661890	8.465790	8.546990	9.230540	9.294310	9.294280	9.303480	9.316190	9.148160	8.296470	8.349360	8.061350	9.506490	9.370440	9.352350	9.661530	9.462700	9.647270	9.677030	9.561680	9.670140	8.328190	8.260920	8.102560
gfcB	7.637380	7.517350	7.791510	8.034370	8.000080	8.188390	8.184930	8.029070	8.269820	7.500850	7.737550	7.602080	8.203890	8.196810	8.028100	8.011900	8.017840	7.851630	8.148580	8.027580	8.032650	7.528350	7.521630	7.255820
gfcC	7.066470	6.637600	6.840510	7.172110	7.100530	7.405760	7.294060	7.274730	7.406580	6.876000	6.913010	6.652860	7.191880	7.106740	7.207610	7.282170	7.274630	7.150510	7.323910	7.107250	6.977340	6.849100	6.522930	6.606170
gfcD	7.250410	7.217890	7.257630	7.564660	7.371180	7.282790	7.400540	7.332310	7.214890	7.045950	7.259040	7.080020	7.463670	7.314750	7.371010	7.309280	7.266260	7.281410	7.194950	7.350940	7.365600	6.843380	6.760760	6.908870
gfcE	8.219520	8.048320	8.153930	8.532620	8.398020	8.432000	8.398980	8.337170	8.300370	7.930120	7.982050	7.787670	8.233980	8.365550	8.314040	8.206860	8.288870	8.193910	8.235950	8.262060	8.115900	7.749120	7.548540	7.467420
etp	8.268680	8.402920	8.288170	8.710940	8.595240	8.677020	8.543390	8.601200	8.664180	8.196330	8.286230	7.980400	8.337000	8.484250	8.375270	8.191150	8.220090	8.266590	8.057310	8.041580	8.214760	7.864520	7.652640	7.933740
etk	8.168130	8.057150	7.976460	8.184200	8.187430	8.130760	8.143900	7.855880	7.930810	8.067490	8.154460	7.953190	7.983660	7.937440	7.950580	7.998620	8.054640	8.087270	7.823790	7.914850	8.080690	7.928130	7.907260	8.052070
appA	7.631330	7.516760	7.593260	7.823200	7.596980	7.755410	7.786500	7.643230	7.665040	7.686540	7.646490	7.529480	7.673150	7.694010	7.566220	7.625440	7.666890	7.813070	7.654640	7.763430	7.639270	7.562170	7.551950	7.480020
yccB	8.018680	8.151230	8.073220	7.465690	7.606680	7.588870	8.048200	8.049090	8.141240	8.055590	8.158960	8.281460	8.043980	8.010270	8.061700	8.066300	8.121220	8.063410	8.144720	8.105300	8.125400	8.613370	8.413120	8.629300
yacG	8.443290	8.564210	8.349240	7.904370	7.581970	7.346590	7.590100	7.531960	7.515930	8.420500	8.500920	8.395030	7.544570	7.533540	7.507080	7.702860	7.653430	7.883040	7.566140	7.466810	7.479770	8.156180	8.095890	7.953330
appB	7.522460	7.464080	7.531580	7.681920	7.482410	7.665970	7.670170	7.493200	7.591790	7.626710	7.624600	7.434490	7.557450	7.608270	7.765400	7.709790	7.650330	7.851430	7.759520	7.883430	7.656490	7.410090	7.407450	7.373340
appC	8.350890	8.460640	8.322180	8.368840	8.526710	8.461050	8.486580	8.500980	8.553050	8.434960	8.395740	8.218690	8.601640	8.707070	8.655300	8.763550	8.748590	9.043030	8.675570	8.680530	8.843940	8.160440	8.085050	8.103830
hyaF	7.465850	7.348950	7.276180	7.795850	7.626770	7.789830	7.767830	7.440130	7.673500	7.469550	7.361430	7.122310	7.438670	7.431950	7.422790	7.629910	7.631780	7.871150	7.750850	7.666300	7.749520	7.199150	7.395320	7.215240
hyaE	7.634940	7.504700	7.570420	7.756520	7.743180	7.718610	7.779830	7.639160	7.735110	7.677350	7.566130	7.483170	7.686620	7.645330	7.663450	7.662320	7.843380	7.852990	7.774120	7.767930	7.633880	7.426160	7.528510	7.413750
hyaD	7.765260	7.766920	7.744720	8.137180	7.978710	8.063380	7.958030	7.746270	7.844100	7.864160	7.758410	7.582230	7.895460	7.856390	7.750390	7.987060	7.997800	7.977640	7.965100	8.075120	7.948440	7.649720	7.789220	7.625780
hyaC	7.674710	7.373430	7.586140	7.473140	7.578850	7.958650	7.484750	7.452940	7.440810	7.505270	7.473540	7.371160	7.505720	7.607600	7.422920	7.673500	7.527180	7.593830	7.527600	7.671890	7.451560	7.360900	7.501660	7.198250
hyaB	8.229890	8.036320	8.162960	8.212770	8.229040	8.551310	8.332590	8.183280	8.158180	8.141260	8.065320	7.891600	8.193830	8.276270	8.221260	8.307370	8.391050	8.443070	8.405760	8.491120	8.203700	8.018030	8.130540	8.043200
