	T0_N0000	T12_N10000	T24_N10000	T24_N0000	T36_N10000	T48_N10000	T60_N10000	T60_N0000
gfcA	8.558223	9.273043	9.255943	8.235727	9.409760	9.590500	9.636283	8.230556
gfcB	7.648747	8.074280	8.161273	7.613493	8.142933	7.960457	8.069603	7.435266
gfcC	6.848193	7.226133	7.325123	6.813957	7.168743	7.235770	7.136167	6.659400
gfcD	7.241977	7.406210	7.315913	7.128337	7.383143	7.285650	7.303830	6.837670
gfcE	8.140590	8.454213	8.345507	7.899947	8.304523	8.229880	8.204637	7.588360
etp	8.319923	8.661067	8.602923	8.154320	8.398840	8.225943	8.104550	7.816967
etk	8.067247	8.167464	7.976863	8.058380	7.957227	8.046843	7.939777	7.962487
appA	7.580450	7.725197	7.698257	7.620837	7.644460	7.701800	7.685780	7.531380
yccB	8.081043	7.553747	8.079510	8.165337	8.038650	8.083643	8.125140	8.551930
yacG	8.452247	7.610977	7.545997	8.438817	7.528397	7.746443	7.504240	8.068467
appB	7.506040	7.610100	7.585053	7.561933	7.643707	7.737183	7.766480	7.396960
appC	8.377903	8.452200	8.513537	8.349797	8.654670	8.851723	8.733346	8.116440
hyaF	7.363660	7.737483	7.627153	7.317763	7.431137	7.710947	7.722223	7.269903
hyaE	7.570020	7.739436	7.718033	7.575550	7.665133	7.786230	7.725310	7.456140
hyaD	7.758967	8.059757	7.849467	7.734933	7.834080	7.987500	7.996220	7.688240
hyaC	7.544760	7.670213	7.459500	7.449990	7.512080	7.598170	7.550350	7.353603
hyaB	8.143057	8.331040	8.224683	8.032727	8.230453	8.380497	8.366860	8.063923
hyaA	7.905343	8.071177	7.992454	7.677863	8.053130	8.154333	8.108540	7.832860
serT	7.918387	8.095990	8.211300	7.985490	8.627314	8.878313	8.657867	8.195086
yccA	11.214933	10.822700	11.083200	11.447067	10.906767	10.913633	10.834800	11.412967
mutT	7.931883	8.176953	7.644127	8.206310	7.668847	7.882820	7.840730	7.969083
yccK	8.771143	8.671823	9.096740	8.549114	9.029716	8.971280	8.799370	8.193370
yccX	8.741080	8.992770	8.845637	8.662736	8.842290	9.114823	9.022693	8.793090
yccW	9.390044	8.806920	9.578240	9.022937	9.423650	9.114470	8.753066	8.300987
hspQ	10.380733	10.727833	10.806400	10.671566	10.881867	10.949367	10.922900	10.536067
yccU	8.600600	8.239033	8.279720	8.512373	8.439787	8.447067	8.315084	8.825387
yccT	7.566100	7.874664	7.696627	7.404337	7.645837	7.693333	7.660517	7.662617
mgsA	11.406200	9.153606	9.894320	11.553933	9.546327	9.340467	9.286987	11.131300
helD	8.870957	8.486810	8.762533	8.820283	8.546330	8.545767	8.493533	8.695350
yccF	8.649070	8.482100	9.264507	8.226294	9.163567	8.868987	8.732484	7.706003
yccS	8.050913	7.586573	7.895860	7.462153	7.642220	7.524860	7.460427	7.175880
secA	9.764103	9.253940	8.365283	9.806746	8.376880	8.563473	8.624883	9.497990
sxy	8.020520	8.054167	8.063780	8.101680	7.887967	8.003973	8.024820	8.180570
sulA	9.009713	12.172033	13.197300	8.725953	13.106067	12.849067	12.771667	8.690527
ompA	13.347067	13.183567	13.215600	12.891800	13.054866	12.942433	12.923567	13.062400
ycbG	9.539803	8.320220	8.167770	9.193247	7.749543	8.040797	7.951030	9.189793
ycbZ	9.721757	9.263917	8.774013	9.114460	8.667647	8.695340	8.774117	8.985017
fabA	10.799433	9.734254	9.486067	10.986200	9.471710	9.224363	9.239043	10.770466
rmf	8.507160	8.222980	8.086807	8.857337	8.286100	8.183197	8.381143	10.277433
ymbA	8.852350	8.095630	7.937207	8.327440	7.851880	7.825300	8.106103	8.186800
pqiB	9.098543	7.586740	7.100883	8.496840	6.845717	6.943473	7.184917	8.237703
pqiA	8.242754	7.849720	7.401880	7.870937	7.535410	7.487383	7.553577	7.650160
secM	9.895227	10.175734	9.926177	10.221934	10.280067	10.438633	10.460400	9.633990
uup	9.298767	7.927883	7.696463	8.708643	7.813100	7.741923	7.868070	8.660717
rlmL	9.181116	7.677363	7.464340	8.568373	7.387173	7.259803	7.347213	8.191160
ycbX	8.726077	8.486080	8.475664	8.959967	8.438140	8.313320	8.558390	8.767240
ycbW	9.168013	8.486897	8.228953	9.125270	8.315997	8.340800	8.437440	9.092890
pyrD	8.822400	8.426767	8.029537	8.597590	8.186734	8.158480	8.260350	7.720883
ycbF	7.276563	7.450773	7.215163	7.284577	7.282190	7.305697	7.436753	7.157030
ycbV	7.303037	7.650097	7.332847	7.433393	7.440023	7.500777	7.506040	7.281237
ycbU	6.954810	7.108147	6.935367	6.869870	6.899837	6.960277	6.892043	6.816187
ycbT	7.298510	7.526637	7.322537	7.285817	7.388013	7.479660	7.466647	7.088300
ycbS	7.319917	7.680797	7.474753	7.297547	7.410927	7.630413	7.509897	7.157887
lpxC	10.669466	11.343266	10.812333	10.334534	10.998433	11.090700	11.140300	10.351734
ycbR	6.517587	6.972090	7.006590	6.380747	6.880450	7.031220	6.987803	6.233890
ycbQ	6.650640	7.557823	7.857523	6.711093	7.993500	7.884427	7.646280	6.531707
ssuE	7.511893	7.724280	7.602090	7.631337	7.709763	7.800283	7.726097	7.564963
ssuA	6.707913	6.872207	6.759750	6.565250	6.658323	6.836603	6.837563	6.644383
ssuD	8.037997	8.075013	8.138263	7.878577	8.098234	8.212953	8.098637	7.805783
ssuC	7.973363	8.193113	8.064883	7.887357	8.062980	8.204487	8.108993	7.793003
ssuB	7.660217	7.916023	7.703230	7.621850	7.715633	8.015263	7.839037	7.591623
pepN	9.640634	8.813206	8.824727	10.392733	8.601890	8.593107	8.652843	10.454533
pncB	8.897037	8.051853	7.986420	9.137343	7.882373	7.973090	7.916350	8.768050
asnS	9.891803	8.787350	8.286357	9.441967	8.233207	8.356077	8.368523	9.188243
ftsZ	11.446534	11.466434	10.801800	11.412000	10.364133	10.072714	10.077654	11.607400
ompF	12.338133	11.014300	10.120054	13.300133	9.454593	9.469047	10.529700	13.437700
aspC	10.373734	9.411913	8.722833	10.650467	8.461107	8.504387	8.639003	10.896267
ycbL	9.320910	8.441350	8.406157	9.583583	8.286000	8.291376	8.373500	9.329913
ycbK	9.817283	7.764940	7.757940	10.285100	7.450910	7.538440	7.609950	10.030893
ycbB	8.384213	7.922380	7.901807	8.715040	7.836317	7.731847	7.907473	9.038450
mukB	9.429047	8.176473	7.951743	9.354413	7.879653	7.849423	7.962670	9.289860
mukE	10.451433	8.508890	8.391010	10.538800	8.325233	8.459697	8.546644	10.121260
mukF	9.588973	8.240797	8.157934	9.834324	8.079190	8.116860	8.219210	9.438470
smtA	10.330533	8.252133	8.132993	10.466233	8.231637	8.252033	8.311457	10.138743
ycbC	8.289177	7.917623	7.972210	8.144900	7.884713	7.959423	8.179840	8.035210
ftsA	10.701733	10.915400	10.664300	10.780600	10.522933	10.451600	10.493900	10.790233
ycbJ	7.602460	7.160833	7.143133	7.073877	7.327893	7.151753	7.250003	7.403057
kdsB	9.888463	8.343036	7.908563	9.405050	7.817967	7.903153	7.888530	9.119400
ycaR	11.088567	9.669580	9.500157	10.578467	9.376614	9.467927	9.394610	10.392333
ycaQ	7.336953	7.256470	6.993847	7.274697	7.014487	6.853860	7.238933	7.190303
lpxK	8.732610	8.648240	8.376700	8.581440	8.459583	8.446983	8.677233	8.391657
msbA	9.801663	9.252597	8.712947	9.329703	8.889647	8.917167	9.057357	9.039897
ycaI	7.162257	7.099677	7.090373	7.001403	7.290073	7.145277	7.310750	6.937600
ihfB	10.845100	11.201234	11.059834	10.872067	10.988400	10.799833	10.789167	11.176766
rpsA	13.102233	12.734900	12.454233	12.493267	12.266900	12.106533	11.995900	11.794733
cmk	10.771434	11.213333	11.240900	10.759600	11.281900	10.940933	10.775533	10.154423
ftsQ	10.462533	10.560400	10.034583	10.614466	9.774823	9.664437	9.544177	10.769600
ycaL	7.258027	7.337157	7.228430	7.341203	7.250973	7.189160	7.282060	7.185473
aroA	8.861903	8.813283	8.687187	9.395393	8.436587	8.118710	8.024517	9.126550
serC	8.724180	8.525940	8.245837	9.219580	8.106997	7.816273	7.666733	9.020823
ycaP	7.736673	7.704903	7.420967	8.201767	7.550150	7.507780	7.673783	9.000086
ycaO	8.874527	8.523480	8.645017	8.172690	8.663060	8.302690	8.093677	7.674743
focA	10.926900	9.699950	9.928523	10.311000	9.772877	9.699863	9.546327	10.173900
pflB	10.440333	9.989510	9.263336	10.281567	8.944213	8.645610	8.563670	10.299800
pflA	10.148667	10.869400	10.763734	9.540603	10.894133	10.864200	10.736767	9.359557
ycaK	6.467650	6.385683	6.267433	6.421930	6.185927	6.275453	6.390370	6.121880
ycaN	7.354270	7.006273	6.957637	6.924267	6.834350	6.970243	6.922880	6.985400
ddlB	10.283267	9.944396	9.377837	10.223733	9.173893	9.074937	9.099507	10.343900
ycaM	6.514003	6.495967	6.368924	6.649060	6.391813	6.373190	6.434837	6.538073
ycaD	8.201010	8.409233	8.178937	8.061560	8.246537	8.424527	8.323100	8.299663
ycaC	8.312810	8.545793	8.448933	8.981850	8.201033	8.339107	8.304430	10.352367
dmsC	8.013177	8.146420	8.228570	8.052594	8.051803	8.180080	8.247430	7.964397
dmsB	7.603313	7.533100	7.472290	7.455350	7.442477	7.508037	7.513330	7.286433
dmsA	7.801610	7.906860	7.794013	7.699267	7.802383	7.951437	8.009983	7.538884
serS	10.246434	9.299770	8.683233	10.160867	8.426250	8.353710	8.484067	9.757640
rarA	8.370280	8.912200	8.137843	8.681953	7.683923	7.686433	7.751473	8.337563
lolA	9.891153	10.256367	9.852770	10.182167	9.252737	9.161113	9.119040	10.020253
ftsK	10.131833	10.561033	10.036690	10.259600	9.538567	9.397916	9.344507	9.988333
murC	9.485820	9.394430	8.887166	9.346583	8.893710	8.997407	8.969820	9.235910
mog	10.233567	9.898226	10.003737	9.731093	10.090800	10.053597	9.984933	9.281953
lrp	9.663554	8.671497	9.713876	10.528533	9.739310	9.460123	9.337990	10.756600
trxB	10.682400	11.105633	11.691667	10.701467	11.489767	11.077167	10.601067	10.172000
cydD	8.561977	8.328026	8.333883	7.923563	7.953143	7.763380	7.608420	7.499750
cydC	9.107130	8.560770	8.474540	8.595330	8.121880	7.954053	7.944907	8.336277
aat	8.758297	8.775617	8.542540	8.638794	8.373257	8.491477	8.418723	8.343887
infA	11.278400	12.341833	12.226967	11.130033	12.274933	12.263967	12.242766	10.690100
clpA	9.179883	9.704717	9.535277	9.852667	9.503770	9.218657	9.131253	10.342067
clpS	10.162033	9.832270	9.853506	10.379300	9.719974	9.495767	9.412213	10.667000
cspD	10.755033	9.307327	8.723060	11.295567	8.694093	8.271004	8.539767	11.960133
murG	9.447060	9.625447	9.194240	9.465387	9.173616	9.243353	9.337397	9.120290
macB	7.978243	8.095297	7.839500	8.366827	7.863973	7.860153	7.937557	8.212290
macA	8.548220	8.580800	8.486900	8.787630	8.407667	8.189867	8.308793	8.782557
ybjX	9.912097	9.784337	9.074966	9.817623	8.810250	8.535860	8.403237	8.780337
ybjD	8.411980	8.436570	8.334107	8.192580	8.176627	8.188203	8.248913	8.127960
aqpZ	7.306783	7.143090	7.274457	7.205370	7.183957	7.199950	7.311223	7.155620
ybjE	6.735957	6.506220	6.667717	6.875910	6.669723	6.608733	6.604977	6.527547
