	sg_baseline_t0	sg_untreated_t30	sg_untreated_t60	sg_untreated_t120	sg_spect_t30	sg_spect_t60	sg_spect_t120	sg_gent_t30	sg_gent_t60	sg_gent_t120
gfcA	8.697530	8.660190	8.702780	8.817750	10.159400	10.612000	10.742100	8.588450	9.582930	10.438900
gfcB	7.594600	7.949740	7.907320	7.932500	8.648120	8.931880	9.670900	7.795700	8.109830	8.892890
gfcC	6.630990	7.070110	6.645250	7.041270	7.656500	7.646070	8.800200	6.840790	6.913380	8.003490
gfcD	6.829310	6.959530	6.828290	7.004990	6.615830	6.511620	6.823650	6.797590	6.879090	6.998770
gfcE	8.058730	7.997900	7.954170	7.911420	7.548330	7.521830	8.110630	7.914240	7.743450	8.071730
etp	7.831910	7.920200	7.734820	7.853760	7.482900	7.662030	8.478380	7.915830	7.772930	8.094130
etk	7.603370	7.963500	7.613100	7.930030	7.483630	7.195790	7.530530	7.788200	8.087170	7.843540
appA	7.424760	7.602170	7.444810	7.833300	7.250120	7.515970	7.700270	7.608390	7.307320	7.368870
yccB	7.897450	8.145610	8.234920	8.451790	8.496500	8.663820	8.778790	8.041240	8.501940	8.499570
yacG	8.926800	8.739120	7.920370	8.510900	7.868990	7.762200	8.107600	8.733530	7.834020	7.924510
appB	7.523700	7.652380	7.643070	7.738910	7.145340	7.278380	7.233370	7.547520	7.538160	7.568670
appC	8.323630	8.433230	8.511410	8.568990	7.980220	7.931080	8.158600	8.341230	8.096110	8.241370
hyaF	7.585940	7.294430	7.551430	7.642280	6.544870	6.372000	6.419650	7.449210	7.229150	7.261410
hyaE	7.905900	7.588020	7.797690	7.939590	6.957760	6.953850	7.069390	7.777630	7.395480	7.570470
hyaD	8.220530	8.005850	8.304180	8.434720	7.516850	7.409100	7.673730	8.109700	7.909850	7.926290
hyaC	7.648140	7.372600	7.611450	7.716350	6.877660	6.299570	6.785200	7.323180	7.408430	7.194310
hyaB	8.376250	8.130640	8.438010	8.524140	7.092730	6.925090	7.010380	8.121230	7.980070	7.963020
hyaA	8.116100	7.728660	7.805670	8.515380	6.947700	6.942990	6.963760	8.140690	7.913170	7.782920
serT	7.938310	7.956540	7.864140	7.678980	8.672070	8.325670	7.723660	7.705650	7.607040	7.299480
yccA	10.511800	10.807300	10.881900	11.040400	10.361100	10.473700	9.949420	11.695400	11.450700	10.795800
mutT	8.765060	8.227710	8.150630	7.862420	7.430940	7.344310	7.680920	8.510250	7.640000	7.862090
yccK	8.509030	8.454260	8.441330	8.670780	9.192410	9.495350	9.430560	8.651110	8.888530	8.825370
yccX	8.746900	8.549250	8.829500	9.383870	8.066330	8.114160	8.009830	8.888410	8.908560	8.858840
yccW	9.513630	9.062360	9.053750	8.822890	9.684910	9.770100	9.823970	8.740130	8.602820	8.425440
hspQ	10.324700	9.520200	9.865410	10.636100	10.142400	10.227300	10.304300	11.198500	12.653200	13.094400
yccU	8.603560	8.585680	8.920020	9.409120	7.898510	7.889750	7.904460	8.304670	8.348510	8.177020
yccT	7.780710	7.484850	7.698130	7.970610	7.712320	7.980710	8.079380	7.480170	7.815790	8.481950
mgsA	9.798420	10.752100	10.767900	11.128200	9.479130	9.555750	9.565760	10.730000	10.720800	10.360200
helD	8.624850	8.708190	8.823880	9.195020	8.716580	8.987530	9.329010	8.621640	8.676250	8.654120
yccF	8.439940	8.493800	8.307580	8.371540	8.983570	9.057210	9.164190	8.118660	8.265750	7.913090
yccS	7.382850	7.268320	7.174840	7.215850	6.678000	6.785980	7.133730	7.185320	7.019570	7.039780
secA	10.042000	9.132270	9.312080	8.971260	7.676560	7.742970	8.093070	9.870270	8.276880	8.321710
sxy	7.631300	7.883040	7.810280	8.083300	8.939570	9.467490	10.161900	8.077940	8.422270	8.916890
sulA	8.174040	8.844060	8.433420	9.022320	10.518200	11.164100	11.384200	8.567580	10.248100	10.788000
ompA	12.823000	13.040600	12.906400	13.296800	12.798300	12.366400	12.581200	12.387100	12.459700	11.882000
ycbG	8.472490	9.113320	9.124070	9.195540	9.921730	9.763950	10.007700	9.043970	9.844320	10.127000
ycbZ	9.259170	9.546460	9.289190	8.828150	8.799290	8.780080	8.930810	9.012440	8.202750	8.163800
fabA	11.034900	11.128400	10.852200	9.902940	11.491900	11.505600	10.917500	10.864700	10.942900	9.972930
rmf	7.796180	8.211770	8.916520	10.681700	8.782480	9.163600	9.263560	8.411400	8.653410	9.041200
ymbA	8.524990	8.681450	8.524650	8.465950	7.793450	7.816450	8.215170	8.140650	7.988140	8.135050
pqiB	8.497390	8.599810	8.483650	8.286220	8.035120	8.139870	8.667210	8.298440	7.539520	7.893820
pqiA	8.421750	8.453920	8.119340	7.728160	8.260180	8.186130	8.814710	8.082360	7.825250	8.077130
secM	9.903480	9.370700	9.307600	9.526310	8.357300	8.066040	8.155480	9.946010	9.220050	9.279810
uup	9.300400	9.377700	9.286940	9.020370	9.313730	9.412100	10.209400	9.178170	8.895480	9.181790
rlmL	8.546040	8.565510	8.418080	8.235730	8.730530	7.921100	8.969780	8.487430	7.310540	7.827810
ycbX	8.428000	8.904480	8.353430	8.535690	8.296740	8.118620	8.438160	8.325260	8.386700	8.400590
ycbW	8.246760	8.695330	8.658770	9.193170	10.652600	10.704800	11.770500	8.912780	9.778430	10.351100
pyrD	8.690600	8.597460	8.449380	10.029300	9.041240	8.824330	9.670230	8.137570	7.699150	7.820810
ycbF	7.088240	7.364700	7.263860	7.266150	6.968260	6.965620	7.684450	7.276340	7.186590	7.231530
ycbV	7.116180	7.182170	7.151670	7.559350	7.084370	7.409570	8.064870	7.214580	7.317610	7.381600
ycbU	6.714480	6.947560	7.100310	7.257160	6.870030	7.189130	7.715950	7.045360	6.874840	7.078000
ycbT	7.084200	7.284490	7.339250	7.716060	6.949750	7.054610	7.498170	7.391960	7.174310	7.444250
ycbS	7.397990	7.375840	7.303120	7.419120	7.078950	6.972690	7.644300	7.574500	7.418610	7.496490
lpxC	10.640400	10.317600	10.266100	11.066600	11.917400	11.558300	11.485100	10.737300	11.396700	11.683400
ycbR	6.686540	6.330980	6.746930	6.582430	5.590110	5.951350	6.195740	6.586830	6.052000	6.164350
ycbQ	6.741650	6.643970	7.080800	6.837030	6.695330	6.880400	7.011510	6.854580	6.577480	6.663100
