	MG1655_uninduced_t0	MG1655_uninduced_t30	MG1655_uninduced_t60	MG1655_uninduced_t120	MG1063_uninduced_t180	MG1655_ampicillin_t30	MG1655_ampicillin_t60	MG1655_ampicillin_t120	MG1655_kanamycin_t30	MG1655_kanamycin_t60	MG1655_kanamycin_t120	MG1655_norfloxacin_t30	MG1655_norfloxacin_t60	MG1655_norfloxacin_t120	MG1655_spectinomycin_t30	MG1655_spectinomycin_t60	MG1655_spectinomycin_t120
gfcA	8.399490	8.480360	8.360830	8.486870	8.284420	8.897370	8.122590	8.919850	8.623580	9.440320	9.622580	9.642040	9.103760	9.251420	9.797010	10.026400	9.822150
gfcB	7.661180	7.626760	7.903720	7.656990	7.688120	7.957950	7.392470	7.855720	7.906740	8.145950	8.382010	8.057100	8.028830	8.128760	8.537220	8.932370	8.409170
gfcC	6.713170	6.765290	7.026820	7.030480	6.747300	7.051690	6.117200	6.770610	6.784790	7.276740	7.247770	7.526710	7.187000	7.238890	7.634070	7.758350	7.099650
gfcD	6.863100	7.015240	7.276060	7.166100	6.858930	7.317800	6.822200	7.029690	6.917840	7.213850	7.113260	7.358930	7.362160	7.161290	6.925930	7.173290	7.097380
gfcE	7.807210	8.103320	8.200730	8.118210	8.387750	8.314010	7.841280	8.002900	7.982360	8.212450	8.077280	8.510770	8.360060	8.535920	7.806930	7.908180	8.403680
etp	7.756220	8.074670	8.157590	8.070010	8.214450	8.121080	7.882770	7.839010	7.958240	8.323340	8.098910	8.274760	8.358230	8.262540	7.969020	8.240610	8.566910
etk	7.665580	7.823500	8.019330	7.856780	7.718310	8.061810	7.814250	7.500010	7.632960	8.195340	7.881800	7.932110	8.098220	8.087270	7.652290	7.707130	7.777550
appA	7.209980	7.534480	7.767100	7.544750	7.698190	7.598040	7.758720	7.449670	7.468530	7.700220	7.430280	7.764840	7.883900	7.808260	7.339400	7.443170	7.790880
yccB	8.090970	8.126010	7.914970	8.431850	9.008680	8.200650	8.434190	8.264050	8.390530	8.191160	8.360030	8.634400	8.787980	8.627870	8.260760	8.529110	8.542290
yacG	8.448290	8.536030	7.992990	8.139280	6.989550	8.141850	8.246840	7.955030	7.215590	8.632250	7.865390	7.553580	7.884500	7.914470	7.625620	7.931630	7.949480
appB	7.210010	7.385860	7.622720	7.386620	7.448210	7.668520	7.621300	7.486130	7.373100	7.728750	7.655520	8.132090	8.425620	8.577620	7.219130	7.424190	7.564060
appC	8.294560	8.205920	8.590140	8.498250	8.459670	8.548960	8.463640	8.218450	8.234910	8.574190	8.338310	9.223090	9.578100	9.490810	8.212840	8.211520	8.497080
hyaF	7.359990	7.289890	7.826510	7.436800	7.654580	7.551510	7.462750	7.247510	7.315210	7.702530	7.302920	7.555030	7.857060	7.799400	6.909330	6.845950	7.422540
hyaE	7.558490	7.561290	7.790300	7.590390	8.055720	7.582410	7.597410	7.510460	7.517540	7.815220	7.537850	7.766380	7.972440	7.937150	7.156570	7.226340	7.574560
hyaD	7.838680	7.884040	8.203960	7.932210	8.491640	8.050770	8.108080	7.810330	7.996810	8.243450	7.890540	7.944740	8.502060	8.448240	7.659530	7.763930	7.972060
hyaC	7.216210	7.504590	7.757370	7.276620	7.567160	7.586600	7.416750	7.305150	7.320460	7.825990	7.237590	7.429360	7.621150	7.637270	7.160230	7.102300	7.110890
hyaB	7.922310	8.033850	8.483470	8.132830	8.275210	8.206510	8.245550	8.008690	8.085780	8.551800	7.919480	8.311060	8.539000	8.725250	7.654700	7.447960	7.654880
hyaA	7.744660	7.679740	7.871930	7.797600	8.248550	7.850550	7.727430	7.876150	8.020960	8.007260	7.735160	8.108370	8.462920	8.412710	7.231540	6.988730	7.339400
serT	7.795900	7.028920	6.251410	7.335630	7.839180	6.273120	6.473920	7.902660	6.333930	7.063100	7.033740	7.819480	5.935560	7.320580	7.973450	8.667770	7.551470
