	acid_shift_t0_r1	acid_shift_t0_r2	acid_shift_t0_r3	acid_shift_t0_r4	acid_shift_t0_r5	acid_shift_1min_r1	acid_shift_1min_r2	acid_shift_1min_r3	acid_shift_1min_r4	acid_shift_1min_r5	acid_shift_5min_r1	acid_shift_5min_r2	acid_shift_5min_r3	acid_shift_5min_r4	acid_shift_5min_r5	acid_shift_10min_r1	acid_shift_10min_r2	acid_shift_10min_r3	acid_shift_10min_r4	acid_shift_10min_r5
gfcA	8.485680	8.318590	8.499010	8.438170	8.514560	8.210670	8.452410	8.050340	8.239240	8.289460	8.471230	8.293110	8.035600	8.313380	8.148520	8.251340	8.327020	7.774810	8.283260	8.269000
gfcB	7.849180	7.748260	7.905300	7.808900	7.874360	7.520080	7.720130	7.723010	7.700610	7.783220	7.631450	7.680460	7.607570	7.695550	7.829340	8.029530	7.827170	7.666420	7.726310	7.898980
gfcC	6.775090	6.738490	6.678460	7.056810	6.863240	6.463210	6.860100	6.669870	6.737640	6.731820	6.764070	6.822530	6.644920	6.582560	6.841450	6.867780	6.854440	6.736730	6.361200	6.709580
gfcD	7.140530	7.280640	7.311950	7.244290	7.168820	7.249600	7.017660	7.292490	7.143630	6.640820	6.714380	7.094500	7.071710	7.055280	7.097630	7.308550	7.153480	7.197200	6.975510	6.996340
gfcE	8.170860	8.257060	8.066290	8.272830	8.240230	8.051690	7.992360	8.152040	7.975370	7.600440	8.054910	7.949420	8.046830	7.974660	7.918520	8.256330	8.202420	8.176960	7.628840	8.269740
etp	8.285860	8.217300	8.223620	8.149900	8.226690	7.847630	8.003540	7.945070	8.125120	8.020420	7.999840	7.924260	7.951870	7.929380	8.034100	8.227630	8.129510	8.073630	8.232050	7.843970
etk	7.874780	7.660720	7.441850	7.724200	7.784610	7.841470	7.607930	8.021070	7.750720	7.449900	7.823050	7.362280	7.709370	7.626070	7.588120	7.561040	7.666650	7.640430	7.772720	7.195950
appA	7.439760	7.723340	7.645630	7.723160	7.629610	7.791080	7.513980	7.782740	7.600630	7.688390	7.375360	7.654080	7.566740	7.578180	7.714830	7.616860	7.306830	7.764550	7.235220	7.360530
yccB	8.412680	8.207370	8.267730	8.296310	8.230150	8.421970	8.325010	8.163350	8.333530	8.532880	8.784500	8.723000	8.100280	8.788670	8.766670	8.522810	8.436900	8.615120	8.491310	8.602990
yacG	8.427330	8.463890	8.372180	8.428230	8.415690	8.375440	7.963310	8.215520	8.157140	8.251100	7.991290	8.351020	8.086770	8.239850	8.289840	8.222150	8.268790	8.046100	8.093380	8.281660
appB	8.048680	7.864580	8.000560	7.925530	7.784770	7.494410	7.901870	7.472550	7.537350	7.241910	7.517560	7.668040	7.380540	7.720300	7.501680	7.448770	7.606560	7.713460	7.457350	7.887200
appC	8.359350	8.504820	8.411110	8.441940	8.422330	8.427110	8.463480	8.633220	8.386210	8.411120	8.420790	8.329530	8.310830	8.499110	8.253790	8.518920	8.650930	8.395610	8.497900	8.265570
hyaF	7.162290	7.344490	7.183670	7.073680	7.209170	7.131650	7.078260	7.395900	7.066090	6.862840	7.042630	7.062660	6.879750	7.141060	6.928630	7.085870	7.119050	6.706520	7.285820	6.610030
hyaE	7.812580	7.761210	7.700290	7.783670	7.609050	7.349880	7.645870	7.512740	7.542350	7.297760	7.497480	7.443890	7.259420	7.459580	7.483620	7.665280	7.397510	7.753310	6.928710	7.643030
hyaD	7.923910	7.992130	7.937500	8.001220	7.933340	7.684110	7.856390	8.004130	7.910540	7.788240	7.710370	7.755800	7.708510	7.723660	7.720640	7.868570	7.652170	7.947370	7.424060	7.917930
