	acid_shift_t0	acid_shift_1min	acid_shift_5min	acid_shift_10min
gfcA	8.451202	8.248424	8.252368	8.181086
gfcB	7.837200	7.689410	7.688874	7.829682
gfcC	6.822418	6.692528	6.731106	6.705946
gfcD	7.229246	7.068840	7.006700	7.126216
gfcE	8.201454	7.954380	7.988868	8.106858
etp	8.220674	7.988356	7.967890	8.101358
etk	7.697232	7.734218	7.621778	7.567358
appA	7.632300	7.675364	7.577838	7.456798
yccB	8.282848	8.355348	8.632624	8.533826
yacG	8.421464	8.192502	8.191754	8.182416
appB	7.924824	7.529618	7.557624	7.622668
appC	8.427910	8.464228	8.362810	8.465786
hyaF	7.194660	7.106948	7.010946	6.961458
hyaE	7.733360	7.469720	7.428798	7.477568
hyaD	7.957620	7.848682	7.723796	7.762020
hyaC	7.815328	7.663538	7.561142	7.612552
hyaB	8.262678	8.224022	8.130554	8.174160
hyaA	7.907900	7.743706	7.676052	7.797028
serT	8.076706	8.071710	7.738252	8.015714
yccA	11.304040	11.019480	9.898346	9.613398
mutT	8.311384	8.098294	7.974776	8.031220
yccK	8.733656	8.580112	8.252140	8.136094
yccX	8.215830	8.287714	8.444300	8.422548
yccW	9.732662	9.557926	8.948482	9.070218
hspQ	10.004796	9.820754	10.098468	9.778832
yccU	8.126106	8.264380	8.414896	8.236694
yccT	7.480628	7.464596	7.378624	7.454210
mgsA	10.433540	10.396440	10.445780	10.508220
helD	8.503922	8.552912	8.671512	8.398864
yccF	8.901336	8.423708	7.670706	7.842168
yccS	8.023132	7.788592	7.025872	7.233444
secA	9.192286	9.279220	9.038352	8.972132
sxy	7.470000	7.539606	7.769010	7.435264
sulA	8.613120	8.781826	8.982910	8.552916
ompA	12.869040	12.876620	12.883040	12.979940
ycbG	8.503714	8.554938	8.713478	8.167530
ycbZ	9.759708	9.625122	9.088102	9.117270
fabA	10.546600	10.604160	9.885380	9.674280
rmf	7.728658	8.017992	8.709644	8.477174
ymbA	8.387976	8.311852	8.181078	8.101404
pqiB	9.241992	9.046674	8.804836	8.948398
pqiA	8.604806	8.373690	8.153626	8.258908
secM	9.899884	9.681200	9.757370	9.780502
uup	9.202130	9.124294	8.353248	8.570514
rlmL	9.030646	8.935130	8.231130	8.468338
ycbX	9.070978	8.909420	9.080832	8.813644
ycbW	8.403526	8.241010	8.372142	8.271430
pyrD	9.111082	8.845832	7.908192	8.533790
ycbF	7.233642	7.083300	7.132268	7.157318
ycbV	7.464936	7.215580	7.290816	7.160798
ycbU	7.064714	6.996632	7.049886	7.033934
ycbT	7.095062	6.979924	7.035592	6.819172
ycbS	6.877574	6.935994	6.947228	6.857722
lpxC	10.050342	10.271508	10.289946	10.291820
ycbR	6.428956	6.249744	6.131708	6.057242
ycbQ	6.740806	6.533562	6.470932	6.393388
ssuE	7.780668	7.684236	7.724936	7.803348
ssuA	6.916098	6.766814	6.686808	6.768452
ssuD	8.179626	7.962996	7.855848	8.052782
ssuC	8.271738	8.085558	8.034960	8.144750
ssuB	7.565006	7.527848	7.668596	7.477798
pepN	9.257510	9.415670	9.864802	9.557916
pncB	8.841914	8.703918	8.923586	8.497086
