G0-10564	ysdC
EG10659	nmpC
G0-10567	insM
G7536	yghE
EG11304	ydfE
G0-10515	yjhW
G7798	yifN
EG12208	ybeM_1
G6376	ybfO
G0-10431	yafF
G7478	ygeN
G7044	intG
EG10863	rph
G7902	yjhD
G7222	tfaS
G6377	ybfL
G7079	yeeP
G6315	tfaD
EG12161	eaeH
G7903	yjhE
G7383	pinH
G6836	insD
G6113	lfhA
EG10010	rhsE
G6599	stfE
G0-10614	ykfL
G6137	afuB
G6114	lafU
G6837	intQ
EG11777	ybfG
G0-10615	ykfK
EG12226	yhiK
EG11778	ybfH
G7374	ypjM_3
G7474	pbl
EG11611	ychG_2
G7760	yrhA
EG12766	agaA
G0-10604	sokA
G6632	ychG_1
EG12364	intB
EG11386	yjiV
G0-10555	ybcD
G7404	ygaY
G7918	yjhR
G0-10556	icdC
G6535	ymdE
G7376	ypjM_1
G0-10682	ykgQ
G0-10559	ynfP
EG11302	rzpQ
G7120	yegZ
G6170	ykgA
G6119	ykfJ
G6348	ybeM_2
G7633	agaW
G0-10561	ypaA
EG11496	prfH
G7822	phnE
G0-10563	yrhC
G7705	gspF
EG12173	gspM
G7706	gspG
EG10252	ebgA
G7707	gspH
EG10253	ebgC
G7701	gspA
G7708	gspI
G7702	gspC
G7709	gspJ
G7703	gspD
G7710	gspK
G7704	gspE
G7711	gspL
G8221	ilvG_1
G7898	yjgX_1
G0-10565	yjgX_3
G0-10495	efeU_2
G6694	lomR_2
G0-10569	insB-7_1
G0-10570	insB-7_2
G7208	yfcT
G7154	yfaS_2
G6211	yaiX
G7155	yfaS_1
G7209	yfcU
EG11986	wbbL_1
G7389	ygaQ_1
G7556	yghX_1
G6214	yaiF
G8204	ydbA_2
G7557	yghX_2
G7391	ygaQ_2
EG12162	gatR_2
EG10498	ilvG_2
EG12103	gapC_2
G8205	gapC_1
G7392	ygaQ_3
EG11992	molR_1
G6525	efeU_1
G6926	arpB_1
G8207	gatR_1
G6609	ycgH_1
G7393	ygaQ_4
G8208	molR_2
G6927	arpB_2
G7375	ypjM_2
G0-10554	ylbE_1
G6610	ycgH_2
G7052	yedS_1
G8209	molR_3
G0-10557	yncK_2
G7065	yeeL_2
G7053	yedS_2
G0-10558	yncK_1
G7041	yedN_2
G6692	lomR_1
G7066	yeeL_1
G0-10683	yhiS_2
G7054	yedS_3
G0-10560	wbbL_2
G7897	yjgX_2
G6722	ydbA_1
G7042	yedN_1
G6288	ylbE_2
EG12238	yhiS_1
G0-10562	ychE_2
G7881	G7881
G7149	b2191
G7388	G7388
G0-8869	sraF
G0-10587	ybhU
G6089	b0100
G6748	G6748
G6090	b0105
G8203	G8203
G6091	b0165
G6687	b1364
G6294	G6294
G14	ackB
G7692	b3254
G7034	G7034
G6388	b0725
G6272	G6272
G7353	G7353
EG11273	fruL
G6678	G6678
G6690	G6690
G7878	G7878
G7561	G7561
G6740	G6740
G7562	G7562
G7386	b2651
G6221	ykiB
G7818	G7818
G6336	G6336
G0-9961	tisA
G6179	b0309
G6084	G6084
G7121	G7121
G6553	b1052
G6516	ycdF
EG12454	ybaK
G7578	yqiA
G7741	yrfF
EG12337	yaeI
EG11470	yigL
EG11195	yidA
EG10849	rhsD
G6236	yajO
G7742	yrfG
G6770	nhoA
EG12705	yggN
G7853	yjfP
EG11845	yihS
EG11472	rmuC
G7247	ypdE
G7005	yebR
G7756	yhhW
G7192	yfcE
EG12850	yfaL
G6425	ybiV
EG11488	mliC
EG11110	ybgC
G6329	ybdL
G7296	ypfH
EG11164	ygiB
G7450	yqcC
G0-10433	ykgN
G7644	yraP
G0-9582	hokE
G6491	pqiB
EG11725	yieH
G7323	yfhM
G7915	sgcQ
G7059	yedY
EG11776	ybfF
G7745	yhgE
G6699	uspF
EG11571	yabI
G6616	ycgL
G7731	php
G6428	fsaA
G0-10440	ybfQ
G7531	yggW
G6980	yeaP
G6993	yoaB
G0-9609	rttR
G0-10624	insJK
G7732	yhfW
G7609	yqjA
G6490	pqiA
EG12859	mdoD
G7064	yeeJ
G26	dgd
EG12410	nudK
G6502	yccX
G6721	paaY
G0-10448	ydaF
G6939	spy
G6912	ydiI
EG11824	yghB
EG10846	rhsA
G0-10471	yifL
G7236	oxc
EG11445	argK
EG10847	rhsB
EG11121	yciA
EG12387	lhgO
G7187	yfbT
G7686	aaeA
EG10167	cstA
G7873	ytfL
G6193	yahN
EG11197	yidC
G6674	ydaN
EG11988	yehB
EG11053	uhpC
EG11338	msyB
G7658	mlaB
EG10297	fepE
EG11486	wzxE
G6321	cusF
G7405	ygaZ
EG11568	kefF
G7406	ygaH
G7685	aaeB
G6945	ydjX
EG10722	phnM
EG11691	yicO
EG12455	lplT
G7537	yghF
G6443	ybjJ
EG12220	yhhT
EG11471	yigM
G7190	yfcC
G7929	yjiJ
G7526	yggR
EG11499	yhbE
G6920	ydiQ
G6885	ydhK
EG12376	yfeH
G6543	csgG
G7729	yhfT
G6445	ybjL
EG12223	rbbA
G6544	csgF
EG13217	ybaE
G7310	yfgO
G7460	ygdQ
G7690	yhdP
G6545	csgE
G7282	eutH
G7541	yghJ
EG12445	eamB
G6282	ybbY
G6561	murJ
EG11682	ptsN
EG11671	atoE
G6934	ydjN
EG11891	yeeA
G7946	yjjP
G7867	ytfF
EG11113	yccA
G7251	yfeO
G7503	ygfQ
G7549	yghQ
EG11798	hofC
EG11400	yhiD
EG11373	mltF
EG11918	zraP
G6572	ycfT
EG11998	yehL
G7171	arnF
G7233	emrK
G7767	dcrB
G7586	yqiH
G6859	tqsA
EG11939	yjcD
EG11895	yeeE
G7403	ygaX
G6417	ybiO
G7201	yfcM
EG12024	yohK
G6431	gsiC
G7833	yjeH
EG12025	sanA
G6178	ykgG
G6267	ybbM
G6666	ynaI
EG11141	yedA
EG11536	yidE
G6465	lolA
G6984	leuE
G7107	wza
