#NAMES	IB1	IB2	IB3	IB4	IB5	IB6	IB7	IB8	IB9	IB10
htgA	-0.438000			0.068000						
htgA	0.251000			0.054000						
ykgD		-0.067000		-0.084000						
ykgD		0.105000		-0.006000						
hofB	0.198000	0.122000	0.093000	0.042000	0.113000		0.067000	0.105000	-0.198000	-0.224000
hofB	0.401000	0.298000	0.231000	0.222000	0.069000		-0.074000	0.002000	-0.032000	-0.042000
yafC	0.192000	0.467000	0.097000	0.024000			0.690000	0.966000	-0.016000	0.432000
yafC	0.491000	0.519000	0.031000	0.153000			0.400000	0.207000	-0.236000	0.668000
thrL	-0.321000	-0.828000		-0.469000	-0.254000	-0.144000	-0.178000	-0.166000	0.018000	-0.070000
thrL	-0.497000	-0.300000		-0.217000	-0.070000	-0.068000	-0.048000	-0.085000	0.096000	0.016000
ykgK	-0.465000		0.290000	0.284000						
ykgK	-0.158000		0.489000	0.416000						
yaaI	0.374000	-0.150000	-0.035000	-0.088000	0.042000		0.268000	0.180000	-0.206000	
yaaI	0.282000	0.274000	0.198000	0.209000	0.008000		0.086000	-0.036000	-0.108000	
ykgE	0.075000	-0.022000	-0.128000	-0.134000	-0.138000	0.033000	0.194000	0.151000	-0.053000	0.057000
ykgE	0.127000	0.099000	0.097000	0.152000	-0.116000	-0.070000	0.152000	0.119000	-0.086000	0.014000
lpxC	0.179000	0.347000	0.005000		-0.105000	-0.001000	0.089000	0.098000	0.182000	-0.003000
lpxC	0.087000	0.329000	0.169000		0.060000	-0.013000	0.091000	0.067000	0.241000	0.161000
yaeJ	0.240000	0.305000				-0.118000	0.029000	-0.094000	0.121000	0.086000
yaeJ	0.323000	0.348000				0.056000	0.184000	0.042000	0.168000	0.105000
ppdD	0.052000	0.090000	-0.279000	-0.145000				-0.200000		
ppdD	0.107000	0.063000	0.022000	0.135000				-0.211000		
yafD	0.463000	0.438000	0.208000		0.236000	0.486000	0.319000	0.426000	0.544000	
yafD	0.488000	0.575000	0.348000		0.256000	0.483000	0.268000	0.292000	0.465000	
thrA		-0.533000		-0.818000	-0.279000	-0.340000	-0.394000	-0.558000	-0.530000	-0.493000
thrA		-0.287000		-0.517000	-0.246000	-0.224000	-0.420000	-0.530000	-0.537000	-0.524000
ykgL		0.498000	0.023000	0.529000					0.050000	-0.107000
ykgL		0.436000	0.324000	0.347000					0.270000	0.280000
dnaK		0.892000	0.613000	0.188000		0.525000	0.555000	0.543000	0.571000	0.622000
dnaK		1.102000	0.462000	0.510000		0.493000	0.609000	0.533000	0.711000	0.700000
ykgF		-0.085000		-0.207000						
ykgF		-0.485000		-0.155000						
yacA	-0.230000	-0.130000	-0.196000		-0.053000	0.014000	0.011000	-0.014000	-0.102000	-0.169000
yacA	-0.034000	0.058000	0.029000		0.012000	0.072000	0.077000	0.005000	-0.063000	-0.075000
cutF	-0.058000	-0.156000	-0.101000	-0.080000			0.194000	0.073000		-0.101000
cutF	0.216000	0.199000	0.164000	0.195000			0.140000	0.144000		0.054000
