alr	Alanine racemase
modB	Molybdate uptake; chlorate resistance; membrane-spanning ABC protein
cysZ	Function unknown, upstream of cysK
dfp	Coenzyme A biosynthesis, bifunctional enzyme; phosphopantothenoylcysteine decarboxylase (N) and phosphopantothenoylcysteine synthase (C)
fruB	Fructosephosphotransferase enzyme III
dcuB	C4-dicarboxylate transporter, anaerobic
hisM	Histidine transport permease
zraS	Two component sensor kinase for ZraP; responsive to Zn(2+) and Pb(2+); autoregulated; regulation of Hyd-3 activity is probably due to crosstalk of overexpressed protein
yaaA	Low abundance protein, UPF0246 family, function unknown
cydC	Cysteine exporter CydDC; ABC transporter exports cysteine to periplasm as required for cytochrome assembly; N-terminal permease domain and C-terminal cytoplasmic ATP-binding domain
yebA	Predicted metalloprotease, function unknown; M37 family
acrD	Aminoglycoside efflux pump; RND-type transporter
rodZ	Cytoskeletal protein required for MreB assembly; required for swarming phenotype; transmembrane protein
garL	2-dehydro-3-deoxygalactarate aldolase; homohexameric
ispB	Octaprenyl diphosphate synthase, isoprenoid biosynthesis
csrD	Targets csrBC sRNAs for degradation by RNase E; degenerate GGDEF/EAL protein; carbon flux regulator; indirectly affects CsrA function
cpxR	Response regulator, periplasmic stress response; CpxA is cognate sensor protein
yjiA	Predicted GTPase, binds GTP, function unknown
aceA	Isocitrate lyase, acetate utilization, glyoxylate shunt; tetrameric
aceB	Malate synthase A; glyoxylate shunt enzyme
aceE	Pyruvate dehydrogenase, decarboxylase component E1; acetate requirement
aceF	Pyruvate dehydrogenase, dihydrolipoamide acetyltransferase E2; acetate requirement
aceK	Isocitrate dehydrogenase kinase/phosphatase
ackA	Acetate kinase, produces acetyl phosphate; mutants are fluoroacetate resistant; creBC regulon; binds Zn(II)
pflA	Pyruvate formate lyase I activase
ada	O6-methylguanine-DNA methyltransferase, transcription factor; inducible; DNA repair against methylating and alkylating agents; binds Zn(II)
add	Adenosine deaminase
adhE	Alcohol dehydrogenase, largely anaerobic; aerobic antioxidant; acetaldehyde-CoA dehydrogenase, CoA-linked; allyl alcohol resistance
adk	Adenylate kinase; weak nucleoside diphosphate kinase activity; pleiotropic effects on glycerol-3-phosphate acyltransferase activity; monomeric
agp	Periplasmic glucose-1-phosphatase, acidic; has inositol phosphatase activity
alaS	Alanine--tRNA ligase
aldA	Aldehyde dehydrogenase, NAD-dependent; active on lactaldehyde, glycolaldehyde, and other aldehydes
puuC	gamma-Glutamyl-gamma-aminobutyraldehyde dehydrogenase; putrescine utilization pathway
alkB	Alkylated DNA repair enzyme; alpha-ketoglutarate- and Fe(II)-dependent dioxygenase; releases replication blocks by oxidative demethylation of 1-methyladenine and 3-methylcytosine residues in ssDNA and dsDNA
amn	AMP nucleosidase
ampC	Intrinsic weak beta-lactamase activity; penicillin resistance; affects morphology; penicillin-binding protein
ampD	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase
ampE	Ampicillin resistance; membrane protein
cysQ	3'-phosphoadenosine 5'-phosphate (pAp) phosphatase; converts pAp to AMP; inhibited by lithium and calcium, leading to pAP accumulation; probable PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase: probably converts PAPS to
osmE	Osmotically inducible lipoprotein, function unknown
ansA	L-Asparaginase I
